शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
अल्लामा	अरबी	ज्ञाता, बुद्धिमान, विद्वान, पण्डित				
अलकतरा	अरबी	डामर				
अलग़ोजा	अरबी	बाँसुरी				
अलबत्ता	अरबी	किंतु, परंतु, निस्संदेह,				
अलंबरदार	अरबी+फारसी	ध्वजवाहक, मार्गदर्शक,				
अलम	अरबी	दुख, कष्ट, व्यथा, पीड़ा,				
अलमनाक	अरबी	दुखमय, दुखद,				
अलमस्त	फारसी	मदमत्त				
अलमस्ती	फारसी	मतवालापन				
अलर्ट	आङ्ग्लभाषा	चेतावनी,	alert	एलर्ट	^(अ|ए)लर्ट(्|्स्|्स)?$	
अलवान	अरबी	???				
अलविदा	अरबी	नमस्कार	الوَدَاع			
अलहदगी	अरबी	पार्थक्य, निरालापन, न्यारापन				
अलहदा	अरबी	अलग, अद्वितीय,				
अलामत	अरबी	चिह्न, लक्षण, उदाहरण		अलामात		
अलाव	फारसी	कौड़ा				
अलावा	अरबी	अतिरिक्त		इलावा		
अलील	अरबी	रुग्ण, रोगी				
अव्वल	अरबी	प्रथम, उत्तम श्रेष्ठ, प्रारम्भ, सर्वोत्तम, मुख्य				
अवेस्ता	फारसी					पारसियों का मूल धर्मग्रंथ।
अवोर्ड्	आङ्ग्लभाषा	पुरस्कार 	award	अवॉर्ड, अवार्ड्स, अवोर्ड		
अशरफ़	फारसी	उच्च, स्वर्ण मुस्लिम		अशराफ		
अशरफ़ी	फारसी	मुद्रा				
अस्तबल	अरबी	अश्वशाला				
अस्पताल्	आङ्ग्लभाषा	चिकित्सालय, रुग्णालय	hospital	अस्पतालों, अस्पताल		
अस्मत	अरबी	पतिव्रत, सतीत्व,				
अस्सलाम	अरबी	नमस्कार				
असगर	अरबी	साधारण, छोटा				
असद	अरबी	सिंह				
असबाब	अरबी	सामग्री, वस्तु,				
असर	अरबी	प्रभाव				
असरकारी	अरबी	गुणकारी, लाभकारी				
असरार	अरबी	रहस्य	أسرار			
असल	अरबी	सत्य, यथार्थ, वास्तविक				
असलह	अरबी	अस्त्र, हथियार,				
असलहख़ाना	अरबी+फारसी	शस्त्रागार				
असलहा	अरबी	अस्त्र-शस्त्र; हथियार,				
असलियत	अरबी	वास्तविकता, मौलिकता, यथार्थता				
असली	अरबी	सच्चा, शुद्ध, मूल				
असासा	अरबी	धन, सम्पत्ति, पूँजी		असासह		
अहकाम	अरबी	नियम , आज्ञाएँ				
अहकामात	अरबी	नियम , आज्ञाएँ				
अहदनामा	अरबी+फारसी	प्रतिज्ञापत्र, शपथपत्र				
अहबाब	अरबी					
अहम	अरबी	महत्त्वपूर्ण, गम्भीर				
अहमक	अरबी	मूर्ख				
अहमकाना	अरबी	मूर्खतापूर्ण				
अहमद	अरबी	प्रशंसनीय				
अहमियत	अरबी	महत्व, गम्भीरता				
अहल	अरबी	व्यक्ति, मुख्य, योग्य,				
अहलकारी	अरबी+फारसी	???				अहलकार का काम; कारिंदागिरी।
अहसास	अरबी	अनुभव, प्रतीति		अहसासों		
अहाता	अरबी	घेरा				
						
आइंदा	फारसी	आगे, आगामी, भविष्य में, भविष्य,		आयंदा		
आइसोलेशन	आङ्ग्लभाषा	एकान्त,				
आईना	फारसी	दर्पण		आइना, आईने, आइने		
आका	तुर्की	स्वामी		आकाओं		
आक़िबत	अरबी	अन्त, परिणाम, भविष्य				
आख़्ता	फारसी	???				जिसके अंडकोश काट या निकाल दिए गए हों; बधिया।
आखिर	अरबी	अन्त में, अन्ततः				
आखिरकार	अरबी	अन्ततः				
आखिरी	अरबी	अंतिम		आखरी		
आगा	तुर्की	अग्रज				
आगाह	फारसी	ज्ञात, सूचित, सचेत				
आगाही	फारसी	चेतावनी, सूचना, भविष्यवाणी,				
आपा	तुर्की	अग्रजा				
आगाज़	अरबी	आरम्भ, प्रारम्भ, लक्षण				
आगोश	अरबी+फारसी	आलिङ्गन				
आज़म	अरबी	बड़ा, महान,				
आज़माइश	फारसी	परीक्षा, परीक्षण,				
आज़माइशी	फारसी	???				1. आज़माइश के तौर पर किया हुआ 2. आज़माइश संबंधी।
आज़माना	फारसी	परखना, प्रयास करना, परीक्षण करना,				
आजाद	फारसी	मुक्त, स्वतन्त्र				
आजादी	फारसी	स्वतन्त्रता, स्वाधीनता, मुक्ति				
आजिज़	अरबी	विवश, शक्तिहीन, उदासीन				
आजिज़ी	अरबी	विवशता, नम्रता, विनती,				
आतशी	फारसी	???				1. आतिश या आग से संबंध रखने वाला 2. आग से पैदा होने वाला 3. आग की लपट जैसा लाल 4. अग्नि-उत्पादक।
आतिश	फारसी	अग्नि, ज्वाला, क्रोध, आवेश		आतश		
आतिशबाजी	फारसी	पटाखा, अग्निकीड़ा				
आदत	अरबी	व्यसन, लत, स्वभाव, प्रकृति, अभ्यास		आदतें, आदतों, आदते, आदतो		
आदतन	अरबी	स्वभावतः				
आदम	अरबी	मनुष्य, व्यक्ति, आदिपुरुष				
आदमकद	अरबी	???				
आदमखोर	अरबी+फारसी	नरभक्षी, मानवभक्षी				
आदमी	अरबी	मनुष्य, व्यक्ति	آدمي			
आदमियत	अरबी	मनुष्यत्त्व, मनुष्यता, शिष्टता				
आदाब	अरबी	शिष्टाचार, नियम, रीति, अभिवादन				
आदिल	अरबी	न्यायप्रिय, न्यायी,				
आननफानन	अरबी	तत्काल, अचानक, एकाएक				
आफ़त	अरबी	सङ्कट, विपत्ति, विपदा, दुःख		आफ़तों, आफतें		
आफ़ताब	फारसी	सूर्य		आफताबों		
आफरीन	अरबी	धन्य				
आब	फारसी	पानी, जल, प्रतिष्ठा, कांति, शोभा,				
आबकार	फारसी	कलवार, कलाल				
आबदार	फारसी	आभायुक्त, जलयुक्त, प्रतिष्ठित, स्वाभिमानी,				
आबदारी	फारसी	???				आबदार होने का गुण, अवस्था या भाव।
आबनूस	फारसी	तेंदू				
आबपाशी	फारसी	सिंचाई				
आबरू	फारसी	प्रतिष्ठा, मान, सम्मान, आदर		आबरु		
आबाई	अरबी	पैतृक				
आबाद	फारसी	सुखी, समृद्ध, प्रसन्न				
आबादकार	फारसी	कृषक				
आबादी	फारसी	जनसंख्या				
आबिद	अरबी	पुजारी, भक्त				
आबोदाना	फारसी	अन्नजल, खानपान, आजीविका,				
आबोहवा	फारसी	जलवायु		अबोहवा		
आम	अरबी	साधारण, सामान्य				
आमजन	अरबी+हिन्दी	सामान्य नागरिक				
आमतौर	अरबी	प्रायः, सामान्यतः				
आमदनी	फारसी	आय, आजीविका, अर्थप्राप्ति, अर्जन				
आमफ़हम	अरबी	जनसाधारण				
आमिर	अरबी	अधिकारी				
आमीन	अरबी	तथास्तु, एवमस्तु				
आमिल	अरबी	कार्यकर्ता, अधिकारी, प्रधान, तांत्रिक, सिद्ध, शासक,				
आर्म्स्	आङ्ग्लभाषा	हथियार, शस्त्र, आयुध, 	arms	आर्म्स		
आर्मी	आङ्ग्लभाषा	सेना	army			
आरजू	फारसी	इच्छा, कामना, अभिलाषा				
आराज़ी	अरबी	भूमि				
आरामकुरसी	फारसी	विश्रामासान				
आरामदेह	फारसी	शान्तिप्रद, विश्रामदायक,				
आरास्ता	फारसी	सुसज्जित				
आरिफ़	अरबी	ज्ञानी				
आलम	अरबी	दशा, दृश्य, जनसमूह, संसार, जगत्				
आलमगीर	अरबी+फारसी	विश्वविजयी, विश्वव्यापी				
आलमी	अरबी	लौकिक, सांसारिक				
आला	अरबी	उत्तम, श्रेष्ठ, उपकरण				
आलाकमान	अरबी+फारसी	सर्वोच्च पदाधिकारी				
आलिम	अरबी	विद्वान				
आलिमाना	अरबी+फारसी	विद्वान समान				
आली	अरबी	ऊँचा, बड़ा, श्रेष्ठ, उत्तम, मान्य,				
आलीजनाब	अरबी	महोदय				
आलीशान	अरबी	भव्य, विशाल,				
आलूचा	फारसी	???				1. एक रसीला और खट्टा-मीठा फल 2. उक्त फल का पेड़।
आलूबुख़ारा	फारसी	???				1. एक खट्टा-मीठा और रसीला फल जिसमें बड़ी गुठली निकलती है 2. उक्त फल का पेड़।
आवाज	फारसी	पुकार, ध्वनि, स्वर, नाद		अवाज, आवाजें, आवाजों		
अवाम	अरबी	जनता, प्रजा, गण		आवाम		
आवारग़ी	फारसी	लम्पटता				
आवारा	फारसी	चञ्चल, लम्पट, आलसी				
आवारागर्दी	फारसी	लम्पटता				
आवारापन	फारसी	लम्पटता				
आशना	फारसी	प्रेमी, प्रेमिका, मित्र, परिचित , 		आश्ना		
आशिक	अरबी	प्रेमी, आसक्त		आशिकों		
आशिकाना	अरबी+फारसी	अनुरागमय,				
आशिकमिज़ाज	अरबी	प्रेमप्रवण, विलासी,				
आशिकी	अरबी	प्रेमासक्ति,				
आशियाना	फारसी	घर, घोंसला		आशियाँ , आशियाने		
आस्तीन	फारसी	बाँह				
आसमान	फारसी	आकाश, गगन, नभ		आसमा, आसमाँ, आस्मां, आसमानों, आसमानो, आसमानी , आसमां		
आसान	फारसी	सरल, सुगम, सहज		आसां, आसाँ		
आसानी	फारसी	सरलता, सहजता, सुगमता, अनायास				
						
इकदार	???	???				
इकबाल	अरबी	प्रताप, भाग्य, वैभव, स्वीकृति,				
इकबालमंद	अरबी	प्रतापी, ऐश्वर्यशाली				
इकबालिया	अरबी	आत्मस्वीकृति				
इकबाली	अरबी	अभियुक्त				
इकराम	अरबी	पुरस्कार, पारितोषिक, अनुग्रह				
इकरार	अरबी	वचन, घोषणा, स्वीकृति, प्रण, प्रतिबद्धता			^(इ|ई)करार(्)?$	
इकरारनामा	अरबी+फारसी	शपथपत्र, प्रतिज्ञापत्र,			^(इ|ई)करार(्)?नामा$	
इकरारी	अरबी	प्रतिबद्ध				
इख़्तियार	अरबी	नियंत्रण, सामर्थ्य, अधिकार				
इख़्तियारी	अरबी	???				
इख़्तिलात	अरबी	अनुराग, प्रेम-भाव, आलिंगन,				
इख़्तिलाफ़	अरबी	वैमनस्य, विरोध, मतभेद,				
इख़्तिसार	अरबी	संक्षेपण				
इख़राज	अरबी	बहिष्कार				
इख़लास	अरबी	सरलता, निश्छलता,				
इज्जत	अरबी	प्रतिष्ठा, मान, सम्मान, आदर				
इज्जतदार	अरबी	प्रतिष्ठित, सम्मानित, कीर्तिमान्, संभावित				
इजलास	अरबी	अधिवेशन, बैठक, सभा, न्यायालय,				
इज़हार	अरबी	व्यक्त, स्पष्ट, प्रदर्शित	إظهار			
इजाज़त	अरबी	अनुमति, आज्ञा				
इजाफा	अरबी	वृद्धि	اضافہ	इजाफे		
इजारा	अरबी	ठेका, अधिकार, स्वत्व,				
इजारादार	अरबी+फारसी	काश्तकार				
इजारानामा	अरबी+फारसी	अधिकारपत्र, स्वत्वपत्र,				
इत्तफ़ाकइ	अरबी	मतैक्य, सहमति, संयोग,				
इत्तफ़ाकन	अरबी	संयोग से				
इत्तला	अरबी	सूचना		इत्तिला		
इत्तलानामा	अरबी	सूचनापत्र				
इत्तहाद	अरबी	मित्रता, एकता,		इत्तिहाद		
इत्तिहादी	अरबी	एकतामूलक				
इत्तेफाक	अरबी	संयोग, अचानक, सहमति		इत्तफाक, इतेफाक		
इत्तेहादुल	???	???				
इत्र	अरबी	???				
इतमीनान	अरबी	संतोष, समाधान, विश्वास, भरोसा,		इत्मीनान		
इन्क्यूबेशन्	आङ्ग्लभाषा	कुलायनिलाय, उद्भवन, ऊष्मायन	incubation 	इन्क्यूबेशन		
इन्कम्	आङ्ग्लभाषा	आय,	income	इनकम, इन्कम, इंकम		
इन्कलाब	अरबी	क्रांति, राज्यपरिवर्तन	اِنْقِلَاب	इनकलाब, इंकलाब		
इन्कलाबी	अरबी	क्रांतिकारी		इनकलाबी		
इंजीनियरिंग	आङ्ग्लभाषा	अभियान्त्रिकी	engineering 	इन्जीनियरिंग		
इंटर्नेश्नल्	आङ्ग्लभाषा	अन्तरराष्ट्रीय	international 	इंटरनेशनल, इनटरनेशनल, 		
इंडियन्	आङ्ग्लभाषा	भारतीय	indian	इंडियन, इण्डियन, इंडियंस 		
इंडिया 	आङ्ग्लभाषा	भारत 	india	इन्डिया		
इंतकाम	अरबी	प्रतिशोध		इन्तकाम, ईंतकाम, ईंन्तकाम		
इंतक़ाल	अरबी	मृत्यु, देहांत, अवसान		इन्तकाल		
इंतजाम	अरबी	प्रबंध, व्यवस्था, आयोजन		इन्तजाम, इंतजामात, इंतिजाम		
इंतज़ामिया	अरबी	प्रबन्धक				
इंतजार	अरबी	प्रतीक्षा		इंतेज़ार, इन्तजार, इंतिजार		
इन्तशार	अरबी	बिखरना, अस्त-व्यस्तता, उद्विग्नता		इंतशार		
इन्तहा	अरबी	अन्त, सीमा		इंतहा, इन्तेहा, इंतेहा, इंतिहा, इन्तिहा, इन्तहां		
इन्तहाई	अरबी	अंतिम, चरम, पराकाष्ठागत, अत्याधिक,		इंतहाई		
इन्तिख़ाब	अरबी	चयन, निर्वाचन		इंतख़ाब, इंतिख़ाब		
इंदराज	फारसी	प्रविष्टि				
इन्नोवेटर्	आङ्ग्लभाषा	अन्वेषक, नवरीतिस्थापक, नूतनव्यवहारस्थापक, 	innovator		^(इ|ई)(न|न्न)ोवेट(र्|र|र्स|र्स्)$	
इन्फ्रास्ट्रक्चर् 	आङ्ग्लभाषा	आधारभूतसंरचना	infrastructure 	इन्फ्रास्ट्रक्चर		
इन्साइड्	आङ्ग्लभाषा	भीतर, आन्तरिक, गुप्त, 	inside			
इंसान	अरबी	मनुष्य, मानव	انسان	इंसानो, इंसानों, इन्सान, इनसान		
इन्सानी	अरबी	मानवीय		इनसानी, इंसानी		
इंसाफ़	अरबी	न्याय		इन्साफ, इनसाफ़,		
इंसानियत	अरबी	मानवता		इन्सानियत, इनसानियत,		
इनकार	अरबी	अस्वीकार, नकार		इंकार, इन्कार		
इनकारी	अरबी	नकारात्मक				
इनकिसार	अरबी	विनम्रता, विनयशीलता				
इनाम	अरबी	पुरस्कार, पारितोषिक		ईनाम, इनामी, ईनामी		
इनायत	अरबी	कृपा				
इफ़रात	अरबी	विपुलता, प्राचुर्य, बाहुल्य, अधिक,				
इफ़लास	अरबी	दरिद्रता				
इफ़ाका	अरबी	स्वास्थ्य लाभ, रोगमुक्ति,				
इब्तिदा	अरबी	आरम्भ, प्रारम्भ, जन्म, उत्पत्ति, अनुष्ठान				
इब्न	अरबी	पुत्र				
इबरत	अरबी	विचित्रता, शिक्षा				
इबरानी	अरबी	यहूदी				
इबादत	अरबी	आराधना, पूजा, अर्चना, उपासना, वंदना		इबादात		
इबारतआराई	अरबी+फारसी	शब्दाडंबर				
इबारत	अरबी	लिखावट, वाक्यरचना, लेख, लेखन शैली, श्रुतलेख,				
इम्तहान	अरबी	परीक्षा		इम्तिहान, इम्तिहाँ, इम्तिहां, इम्तिहानो, इम्तहानो, इम्तेहान, इम्तेहाँ, इम्तेहां, इम्तेहानो		
इम्तिनाई	अरबी	निषेधक, प्रतिबंधक,		इम्तिनाय		
इम्तियाज़	अरबी	भेद, अंतर, विवेक, विशेषता,				
इम्यूनिटी	आङ्ग्लभाषा	रोग प्रतिरोधक शक्ति, प्रतिरक्षा,	immunity 			
इमरजेंसी	आङ्ग्लभाषा	आपातकालीन, आपातकाल	emergency 	इमर्जेंसी		
इमदाद	अरबी	सहायता, सहयोग,				
इमदादी	अरबी	लाभार्थी				
इमला	अरबी	अनुलेख, श्रुतलेख,				
इमलाक	अरबी	संपत्ति,				
इमामत	अरबी	नेतृत्व				
इमामदस्ता	अरबी+फारसी	???				जड़ी-बूटी आदि को कूटने-पीसने के लिए प्रयोग किया जाने वाला धातु का खल-बट्टा।
इमारत	अरबी	भवन				
इमारती	अरबी	???				
इमोशनल्	आङ्ग्लभाषा	भावुक, 	emotional 	इमोशनल		
इर्साल	अरबी	भेंट,				
इरफ़ान	अरबी	बुद्धि, विवेक, ज्ञान,				
इरशाद	अरबी	आज्ञा, आदेश, पथप्रदर्शन,				
इरादतन	अरबी	विचारपूर्वक, संकल्पपूर्वक,				
इरादा	अरबी	विचार, इच्छा, आशय, उद्देश्य		इरादे, इरादें, इरादों, इरादो		
इल्ज़ाम	अरबी	आरोप, अभियोग, दोषारोपण,		ईल्ज़ाम, इल्जामात, इलज़ाम		
इल्ताफ़	अरबी	कृपा, दया,				
इल्लत	अरबी	दुर्व्यसन, कारण, अपराध, दोष, त्रुटि, संकट, रोग,				
इल्तिजा	अरबी	प्रार्थना, विनती, निवेदन,				
इल्म	अरबी	ज्ञान , विद्या , विज्ञान				
इल्मियत	अरबी	विद्वता, पांडित्य,				
इल्मी	अरबी	???				
इल्मेअदब	अरबी	साहित्यशास्त्र				
इल्मेइलाही	अरबी	ब्रह्माविद्या, अध्यात्म				
इल्मेगैब	अरबी	परोक्षविज्ञान				
इल्मेनुजूम	अरबी	ज्योतिषशास्त्र				
इलहाक	अरबी	जोड़ना, क्षेपक,				
इलहाम	अरबी	???				
इलाक़ा	अरबी	क्षेत्र, प्रदेश, स्थान		इलाके, इलाकों, इलाको		
इलाकाई	अरबी	प्रादेशिक, क्षेत्रीय,				
इलाज	अरबी	उपचार, उपाय, निराकरण		ईलाज		
इलाही	अरबी	अल्लाह, अल्लाह का				
इलेक्ट्रिक्	आङ्ग्लभाषा	वैद्युत, विद्युत्वान्	electric 	इलेक्ट्रिक		
इलेक्ट्रिसिटी 	आङ्ग्लभाषा	विद्युत्, वज्रस्फुलिङ्ग, 	electricity 			
इवेंट्	आङ्ग्लभाषा	घटना, स्पर्धा, 	event	इवेंट, इवेंट्स, इवेंट्स्		
इश्क़	अरबी	प्रेम, आसक्ति				
इश्कबाज	अरबी+फारसी	प्रेमी, आसक्त				
इश्कबाजी	अरबी+फारसी	व्याभिचार				
इश्किया	अरबी	???				
इश्केमजाजी	अरबी+फारसी	सांसारिक प्रेम				
इश्केहकीकी	अरबी+फारसी	ईश्वरीय प्रेम				
इश्तिआल	अरबी	भड़काना, उत्तेजित,				
इश्तियाक	अरबी	इच्छा, लालसा, उत्कंठा,				
इश्तिराक	अरबी	साझेदारी, भागीदारी, साम्यवाद,				
इश्तिहा	अरबी	भूख, क्षुधा, इच्छा,				
इश्तिहार	अरबी	विज्ञापन, प्रचार, सूचना, घोषणा		इश्तहार, इश्तेहार, इश्तिहारों, इश्तिहारो,		
इश्तहारी	अरबी	विज्ञापित				
इशरत	अरबी	सुख-भोग, आनंद-मंगल,				
इशाअत	अरबी	प्रकटन, प्रचार, प्रसार, संस्करण,				
इशारतन	अरबी	सांकेतिक				
इशारा	अरबी	सङ्केत		इशारे, इशारों, इशारो, इशारें		
इशारेबाज़ी	अरबी	???				
इस्कात	अरबी	चुप कर देना				
